,track_name,artist(s)_name,release_date
106,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",2017-11-10
107,Dandelions,Ruth B.,2017-04-28
108,Bones,Imagine Dragons,2021-03-11
109,Set Fire to the Rain,Adele,2011-01-01
110,Money Trees,"Kendrick Lamar, Jay Rock",2012-01-01
111,Tak Segampang Itu,Anggi Marito,2022-12-02
112,LAGUNAS,"Peso Pluma, Jasiel Nunez",2023-06-22
113,Mine (Taylor's Version),Taylor Swift,2023-07-07
114,Everybody Wants To Rule The World,Tears For Fears,1985-02-17
115,No Role Modelz,J. Cole,2014-12-09
116,Tattoo,Loreen,2023-02-25
117,Rara Vez,"Taiu, Milo j",2023-02-08
118,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beele",2023-05-12
119,august,Taylor Swift,2020-07-24
120,LUNA,"Junior H, Peso Pluma",2023-06-22
121,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2023-03-10
122,Nonsense,Sabrina Carpenter,2022-07-15
123,Por las Noches,Peso Pluma,2021-06-11
124,Feliz Cumpleanos Ferxxo,Feid,2022-08-19
125,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",2011-08-16
126,Watermelon Sugar,Harry Styles,2019-11-17
127,lovely - Bonus Track,"Billie Eilish, Khalid",2017-08-11
128,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2023-06-21
129,Queencard,(G)I-DLE,2023-05-15
130,OMG,NewJeans,2023-01-02
131,Radio,Lana Del Rey,2011-01-01
132,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023-01-11
133,505,Arctic Monkeys,2007-04-20
134,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",2023-06-02
135,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",2022-12-02
136,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023-05-22
137,Perfect,Ed Sheeran,2017-01-01
138,Romantic Homicide,d4vd,2022-07-20
139,Believer,Imagine Dragons,2017-01-31
140,Novo Balanco,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2023-05-19
141,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2023-06-01
142,Without Me,Eminem,2002-01-01
143,QUEMA,"Sog, Ryan Castro, Peso Pluma",2023-07-13
144,Stargirl Interlude,"The Weeknd, Lana Del Rey",2016-11-24
145,Ojitos Lindos,"Bad Bunny, Bomba Estereo",2022-05-06
146,Somewhere Only We Know,Keane,2004-01-01
147,Those Eyes,New West,2019-05-10
148,El Gordo Trae El Mando,Chino Pacas,2023-01-27
149,Mi Bello Angel,Natanael Cano,2023-06-30
150,Bye,Peso Pluma,2023-05-26
151,Danza Kuduro,"Don Omar, Lucenzo",2010-01-01
152,Nosso Quadro,"Ana Castela, AgroPlay",2023-02-02
153,Locked Out Of Heaven,Bruno Mars,2012-12-05
154,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",2023-04-04
155,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022-06-17
156,Counting Stars,OneRepublic,2013-01-01
157,Ghost,Justin Bieber,2021-03-19
158,Under The Influence,Chris Brown,2019-10-04
159,PRC,"Natanael Cano, Peso Pluma",2023-01-23
160,Gasolina,Daddy Yankee,2004-07-13
161,One Dance,"Drake, WizKid, Kyla",2016-04-04
162,Enchanted,Taylor Swift,2010-01-01
163,Save Your Tears,The Weeknd,2020-03-20
164,Sure Thing,Miguel,2010-05-25
165,Every Breath You Take - Remastered 2003,The Police,1983-01-06
166,The Night We Met,Lord Huron,2015-02-02
167,We Found Love,"Rihanna, Calvin Harris",2011-01-01
168,When I Was Your Man,Bruno Mars,2012-12-05
169,Let Me Down Slowly,Alec Benjamin,2018-05-25
170,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",2023-06-02
171,Do I Wanna Know?,Arctic Monkeys,2013-01-01
172,Demons,Imagine Dragons,2012-01-01
173,ýýýýýýýýýýýý,YOASOBI,2023-04-12
174,Reminder,The Weeknd,2016-11-25
175,Shake It Off,Taylor Swift,2014-01-01
176,Why'd You Only Call Me When You're High?,Arctic Monkeys,2013-01-01
177,SNAP,Rosa Linn,2022-03-19
178,Shape of You,Ed Sheeran,2017-01-06
179,Night Changes,One Direction,2014-11-17
180,Fin de Semana,"Oscar Maydon, Junior H",2023-01-13
181,Creep,Radiohead,1992-09-21
182,Car's Outside,James Arthur,2019-10-18
183,Apocalypse,Cigarettes After Sex,2017-03-21
184,Cheques,Shubh,2023-05-19
185,Pink + White,Frank Ocean,2016-08-20
186,Circles,Post Malone,2019-08-30
187,Just The Way You Are,Bruno Mars,2010-01-01
188,Take Me To Church,Hozier,2013-09-13
189,Bebe Dame,"Fuerza Regida, Grupo Frontera",2022-12-16
